Method,Model,accuracy,precision,recall,f1,val_f1,auc_roc,auc_pr,training_time,prediction_time,model_size_mb
RF Top-30,SVM (LinearSVC),0.9501827734615169,0.9279256942325298,0.7244773363511823,0.8136769575542696,0.8121355513447305,0.9592202489251509,0.8982679799489101,169.55563688278198,3.3578402996063232,0.0012149810791015625
RF Top-30,Naive Bayes,0.18817729584707396,0.1558793708082565,0.9981237715170648,0.26964728220641715,0.26957255697350685,0.7854850853029458,0.6434441097244584,3.4215118885040283,2.516566753387451,0.007079124450683594
RF Top-30,Random Forest,0.9963601810966408,0.9830026240528349,0.992926916433379,0.9879398473961035,0.9878797447780738,0.9998658143119051,0.9993913184565495,553.8675937652588,13.129204750061035,0.0009593963623046875
RF Top-30,GBT,0.9952758370130234,0.976568338682024,0.9923461790458038,0.9843940412269104,0.9842478121961383,0.9996838688388702,0.9968159632350595,541.6044774055481,5.701206207275391,0.9362392425537109
RF Top-30,XGBoost,0.9976524509529932,0.9864741551866243,0.9980493180058372,0.9922279792746114,0.99213431036082,0.9999604049340931,0.9998216579035767,1295.089896440506,7.358367919921875,2.5205345153808594
RF Top-30,MLP,0.9812374937119221,0.9835110584518167,0.8899577104056228,0.9343985491385511,0.9333071985103151,0.9919002800012678,0.9756289545755181,259.036173582077,4.875324964523315,0.03510284423828125
RF Top-30,Hybrid Bagging Ensemble (Top-3 Mixed + Weighted),0.9981264322843888,0.9902421715603654,0.9973494550002978,0.9937831060729706,,0.9999405986066238,0.9997207485272334,6234.905069828033,49.441410541534424,6.847909927368164
RF Top-30,Ensemble Voting,0.9976636297579788,0.9888059149722735,0.9957114777532908,0.9922466816539424,,0.9999226379131412,0.9996829924910549,0.0,23.09731698036194,0.9343681335449219
SHAP Top-30,Decision Tree,0.9984349673019954,0.9914512216766255,0.9981833343260468,0.9948058886382524,0.9946808510638299,0.9994587767256927,0.9988949900597995,12.101907014846802,3.5716841220855713,0.0038576126098632812
SHAP Top-30,Logistic Regression,0.917156112011626,0.6556978524434146,0.943847161832152,0.7738182439691377,0.7729813949225552,0.9781884772289872,0.935957483208326,24.300408124923706,3.2447707653045654,0.000659942626953125
SHAP Top-30,SVM (LinearSVC),0.8842077021966351,0.568692495462227,0.9470784442194294,0.7106567222548117,0.7092271904884985,0.9768446337667523,0.9311698424385123,147.64759254455566,3.2669122219085693,0.0064067840576171875
SHAP Top-30,Naive Bayes,0.4641886982281594,0.21744728108998823,0.988385252248496,0.35647020598431284,0.3561698165843755,0.895439309061757,0.6908416526735774,3.1889936923980713,2.491719961166382,0.001277923583984375
SHAP Top-30,Random Forest,0.9986406573137332,0.9943690012777464,0.9965900291857764,0.9954782763903557,0.9951252248641494,0.9999424584998708,0.9997391417565877,558.5854132175446,13.404504776000977,0.024089813232421875
SHAP Top-30,GBT,0.9975406629031357,0.9881754759370935,0.9955327893263446,0.9918404889772424,0.9911430403628286,0.999805390051673,0.9982374012867353,617.2834856510162,5.938286542892456,0.0021276473999023438
SHAP Top-30,XGBoost,0.999087809513163,0.994693466144907,0.9992554648877241,0.9969692467686823,0.9970581116055636,0.9999853746218407,0.9999387184548439,1226.097662448883,7.128528118133545,0.0028448104858398438
SHAP Top-30,MLP,0.9856933653792409,0.9741676682223297,0.9293585085472631,0.9512356827690267,0.9497125613552587,0.9969869907245206,0.9873590799553295,266.03713512420654,4.840952157974243,0.035144805908203125
SHAP Top-30,Hybrid Bagging Ensemble (Top-3 Mixed + Weighted),0.998982728746297,0.9948071987062507,0.9984364762642206,0.9966185334096331,,0.9999782417992223,0.999917121186894,4909.0907146930695,46.584667921066284,7.148558616638184
SHAP Top-30,Ensemble Voting,0.9989939075512828,0.994748865220874,0.9985704925844303,0.9966560154566397,,0.999977407926321,0.9999126434794572,0.0,20.7061870098114,0.014956474304199219
PCA k=40,Decision Tree,0.9949360013414565,0.9721474410279545,0.9947733635118232,0.9833302667893286,0.9838496942417843,0.9983287168041818,0.9941554628310425,33.55414342880249,6.414036750793457,0.002780914306640625
PCA k=40,Logistic Regression,0.9281247554636409,0.6898481561822126,0.9471082256239204,0.7982630086096539,0.797150061664873,0.9863646716364756,0.9491133607965226,39.774627447128296,6.201052188873291,0.009194374084472656
PCA k=40,SVM (LinearSVC),0.919087809513163,0.6627357003216245,0.9389183393888856,0.7770151203342002,0.7752632309186489,0.9844240950505371,0.9429406733374496,152.0981104373932,6.021235704421997,0.0027780532836914062
PCA k=40,Naive Bayes,0.20312559387401488,0.15773493998712657,0.9925397581749955,0.2722101067522645,0.2721105148265016,0.34583486783405626,0.10684986399441536,14.595373392105103,6.078571319580078,0.004238128662109375
PCA k=40,Random Forest,0.9950612039572969,0.9724586443193226,0.9952945380904163,0.9837440852460464,0.9838290339829993,0.9998420954824768,0.9992666530677127,926.1566970348358,23.00552988052368,0.051362037658691406
PCA k=40,GBT,0.9915577664747639,0.9538814093382985,0.991720769551492,0.9724331269711481,0.9721061629746112,0.9994280657075553,0.9954548747302169,600.6253621578217,9.636257648468018,0.8530082702636719
PCA k=40,XGBoost,0.9981554971773517,0.9908389942133227,0.9969325153374233,0.99387641491928,0.9937594747170373,0.9999448675900802,0.9997666982372199,1444.8234226703644,7.862056493759155,3.820941925048828
PCA k=40,MLP,0.9898339947459617,0.983205989040673,0.9484930609327535,0.9655376266664646,0.9643978459840543,0.9982526685279238,0.9930405797478358,254.93539476394653,7.9673497676849365,0.0652313232421875
PCA k=40,Hybrid Bagging Ensemble (Top-3 Mixed + Weighted),0.9981800905483204,0.9917281864271102,0.9961879802251474,0.9939530806602583,,0.9999210027991068,0.999649151954508,12714.603444576263,38.961020708084106,7.459019660949707
PCA k=40,Ensemble Voting,0.997305907998435,0.9862423876019287,0.9959497289892192,0.9910722885317805,,0.9999198020832399,0.9996288673283423,0.0,34.824122190475464,0.09685802459716797
